"muni_id","municipalities","prov_id"
448,"Riudarenes                                                                                          ",17
449,"Riudaura                                                                                            ",17
450,"Riudellots de la Selva                                                                              ",17
451,"Riumors                                                                                             ",17
452,"Roses                                                                                               ",17
453,"Rupià                                                                                               ",17
454,"Sales de Llierca                                                                                    ",17
455,"Salt                                                                                                ",17
456,"Sant Andreu Salou                                                                                   ",17
457,"Sant Climent Sescebes                                                                               ",17
458,"Sant Feliu de Buixalleu                                                                             ",17
459,"Sant Feliu de Guíxols                                                                               ",17
460,"Sant Feliu de Pallerols                                                                             ",17
461,"Sant Ferriol                                                                                        ",17
462,"Sant Gregori                                                                                        ",17
463,"Sant Hilari Sacalm                                                                                  ",17
464,"Sant Jaume de Llierca                                                                               ",17
465,"Sant Jordi Desvalls                                                                                 ",17
466,"Sant Joan de les Abadesses                                                                          ",17
467,"Sant Joan de Mollet                                                                                 ",17
468,"Sant Julià de Ramis                                                                                 ",17
469,"Vallfogona de Ripollès                                                                              ",17
470,"Sant Llorenç de la Muga                                                                             ",17
471,"Sant Martí de Llémena                                                                               ",17
472,"Sant Martí Vell                                                                                     ",17
473,"Sant Miquel de Campmajor                                                                            ",17
474,"Sant Miquel de Fluvià                                                                               ",17
475,"Sant Mori                                                                                           ",17
476,"Sant Pau de Segúries                                                                                ",17
477,"Sant Pere Pescador                                                                                  ",17
478,"Santa Coloma de Farners                                                                             ",17
479,"Santa Cristina d'Aro                                                                                ",17
480,"Santa Llogaia d'Àlguema                                                                             ",17
481,"Sant Aniol de Finestres                                                                             ",17
482,"Santa Pau                                                                                           ",17
483,"Sant Joan les Fonts                                                                                 ",17
484,"Sarrià de Ter                                                                                       ",17
485,"Saus, Camallera i Llampaies                                                                         ",17
486,"La Selva de Mar                                                                                     ",17
487,"La Cellera de Ter                                                                                   ",17
488,"Serinyà                                                                                             ",17
489,"Serra de Daró                                                                                       ",17
490,"Setcases                                                                                            ",17
491,"Sils                                                                                                ",17
492,"Susqueda                                                                                            ",17
493,"La Tallada d'Empordà                                                                                ",17
494,"Terrades                                                                                            ",17
495,"Torrent                                                                                             ",17
496,"Torroella de Fluvià                                                                                 ",17
497,"Torroella de Montgrí                                                                                ",17
498,"Tortellà                                                                                            ",17
499,"Toses                                                                                               ",17
500,"Tossa de Mar                                                                                        ",17
501,"Ultramort                                                                                           ",17
502,"Ullà                                                                                                ",17
503,"Ullastret                                                                                           ",17
504,"Urús                                                                                                ",17
505,"La Vall d'en Bas                                                                                    ",17
506,"La Vall de Bianya                                                                                   ",17
507,"Vall-llobrega                                                                                       ",17
508,"Ventalló                                                                                            ",17
509,"Verges                                                                                              ",17
510,"Vidrà                                                                                               ",17
511,"Vidreres                                                                                            ",17
512,"Vilabertran                                                                                         ",17
513,"Vilablareix                                                                                         ",17
514,"Viladasens                                                                                          ",17
515,"Viladamat                                                                                           ",17
516,"Vilademuls                                                                                          ",17
517,"Viladrau                                                                                            ",17
518,"Vilafant                                                                                            ",17
519,"Vilaür                                                                                              ",17
520,"Vilajuïga                                                                                           ",17
521,"Vilallonga de Ter                                                                                   ",17
522,"Vilamacolum                                                                                         ",17
523,"Vilamalla                                                                                           ",17
524,"Vilamaniscle                                                                                        ",17
525,"Vilanant                                                                                            ",17
526,"Vila-sacra                                                                                          ",17
527,"Vilopriu                                                                                            ",17
528,"Vilobí d'Onyar                                                                                      ",17
529,"Biure                                                                                               ",17
530,"Cruïlles, Monells i Sant Sadurní de l'Heura                                                         ",17
531,"Forallac                                                                                            ",17
532,"Sant Julià del Llor i Bonmatí                                                                       ",17
533,"Abella de la Conca                                                                                  ",25
534,"Àger                                                                                                ",25
535,"Agramunt                                                                                            ",25
536,"Els Alamús                                                                                          ",25
537,"Alàs i Cerc                                                                                         ",25
538,"L'Albagés                                                                                           ",25
539,"Albatàrrec                                                                                          ",25
540,"Albesa                                                                                              ",25
541,"L'Albi                                                                                              ",25
542,"Alcanó                                                                                              ",25
543,"Alcarràs                                                                                            ",25
544,"Alcoletge                                                                                           ",25
545,"Alfarràs                                                                                            ",25
546,"Alfés                                                                                               ",25
547,"Algerri                                                                                             ",25
548,"Alguaire                                                                                            ",25
549,"Alins                                                                                               ",25
550,"Almacelles                                                                                          ",25
551,"Almatret                                                                                            ",25
552,"Almenar                                                                                             ",25
553,"Alòs de Balaguer                                                                                    ",25
554,"Alpicat                                                                                             ",25
555,"Alt Àneu                                                                                            ",25
556,"Naut Aran                                                                                           ",25
557,"Anglesola                                                                                           ",25
558,"Arbeca                                                                                              ",25
559,"El Pont de Bar                                                                                      ",25
560,"Arres                                                                                               ",25
561,"Arsèguel                                                                                            ",25
562,"Artesa de Lleida                                                                                    ",25
563,"Artesa de Segre                                                                                     ",25
564,"La Sentiu de Sió                                                                                    ",25
565,"Aspa                                                                                                ",25
566,"Les Avellanes i Santa Linya                                                                         ",25
567,"Aitona                                                                                              ",25
568,"Baix Pallars                                                                                        ",25
569,"Balaguer                                                                                            ",25
570,"Barbens                                                                                             ",25
571,"La Baronia de Rialb                                                                                 ",25
572,"La Vall de Boí                                                                                      ",25
573,"Bassella                                                                                            ",25
574,"Bausen                                                                                              ",25
575,"Belianes                                                                                            ",25
576,"Bellcaire d'Urgell                                                                                  ",25
577,"Bell-lloc d'Urgell                                                                                  ",25
578,"Bellmunt d'Urgell                                                                                   ",25
579,"Bellpuig                                                                                            ",25
580,"Bellver de Cerdanya                                                                                 ",25
581,"Bellvís                                                                                             ",25
582,"Benavent de Segrià                                                                                  ",25
583,"Biosca                                                                                              ",25
584,"Bovera                                                                                              ",25
585,"Es Bòrdes                                                                                           ",25
586,"Les Borges Blanques                                                                                 ",25
587,"Bossòst                                                                                             ",25
588,"Cabanabona                                                                                          ",25
589,"Cabó                                                                                                ",25
590,"Camarasa                                                                                            ",25
591,"Canejan                                                                                             ",25
592,"Castellar de la Ribera                                                                              ",25
593,"Castelldans                                                                                         ",25
594,"Castellnou de Seana                                                                                 ",25
595,"Castelló de Farfanya                                                                                ",25
596,"Castellserà                                                                                         ",25
597,"Cava                                                                                                ",25
598,"Cervera                                                                                             ",25
599,"Cervià de les Garrigues                                                                             ",25
600,"Ciutadilla                                                                                          ",25
601,"Clariana de Cardener                                                                                ",25
602,"El Cogul                                                                                            ",25
603,"Coll de Nargó                                                                                       ",25
604,"Corbins                                                                                             ",25
605,"Cubells                                                                                             ",25
606,"L'Espluga Calba                                                                                     ",25
607,"Espot                                                                                               ",25
608,"Estaràs                                                                                             ",25
609,"Esterri d'Àneu                                                                                      ",25
610,"Esterri de Cardós                                                                                   ",25
611,"Estamariu                                                                                           ",25
612,"Farrera                                                                                             ",25
613,"La Floresta                                                                                         ",25
614,"Fondarella                                                                                          ",25
615,"Foradada                                                                                            ",25
616,"La Fuliola                                                                                          ",25
617,"Fulleda                                                                                             ",25
618,"Gavet de la Conca                                                                                   ",25
619,"Golmés                                                                                              ",25
620,"Gósol                                                                                               ",25
621,"La Granadella                                                                                       ",25
622,"La Granja d'Escarp                                                                                  ",25
623,"Granyanella                                                                                         ",25
624,"Granyena de Segarra                                                                                 ",25
625,"Granyena de les Garrigues                                                                           ",25
626,"Guimerà                                                                                             ",25
627,"Guissona                                                                                            ",25
628,"Guixers                                                                                             ",25
629,"Ivars de Noguera                                                                                    ",25
630,"Ivars d'Urgell                                                                                      ",25
631,"Ivorra                                                                                              ",25
632,"Isona i Conca Dellà                                                                                 ",25
633,"Juncosa                                                                                             ",25
634,"Juneda                                                                                              ",25
635,"Lleida                                                                                              ",25
636,"Les                                                                                                 ",25
637,"Linyola                                                                                             ",25
638,"Lladorre                                                                                            ",25
639,"Lladurs                                                                                             ",25
640,"Llardecans                                                                                          ",25
641,"Llavorsí                                                                                            ",25
642,"Lles de Cerdanya                                                                                    ",25
643,"Llimiana                                                                                            ",25
644,"Llobera                                                                                             ",25
645,"Maldà                                                                                               ",25
646,"Massalcoreig                                                                                        ",25
647,"Massoteres                                                                                          ",25
648,"Maials                                                                                              ",25
649,"Menàrguens                                                                                          ",25
650,"Miralcamp                                                                                           ",25
651,"La Molsosa                                                                                          ",25
652,"Mollerussa                                                                                          ",25
653,"Montgai                                                                                             ",25
654,"Montellà i Martinet                                                                                 ",25
655,"Montferrer i Castellbò                                                                              ",25
656,"Montoliu de Segarra                                                                                 ",25
657,"Montoliu de Lleida                                                                                  ",25
658,"Montornès de Segarra                                                                                ",25
659,"Nalec                                                                                               ",25
660,"Navès                                                                                               ",25
661,"Odèn                                                                                                ",25
662,"Oliana                                                                                              ",25
663,"Oliola                                                                                              ",25
664,"Olius                                                                                               ",25
665,"Les Oluges                                                                                          ",25
